carID,駆動方式,乗車定員,ドア枚数,エンジン型式,エンジン種類,エンジン区分,環境対策エンジン,総排気量(cc),過給器,ホイールベース(mm),車両重量(kg),最低地上高(mm),最小回転半径(m),サスペンション形式前,サスペンション形式後,ブレーキ形式後,使用燃料,燃料タンク容量(L),エアフィルター,2列目シート,アルミホイール,リアスポイラー,フロントフォグランプ,ETC,助手席エアバッグ,サイドエアバッグ,カーテンエアバッグ,頸部衝撃緩和ヘッドレスト,EBD付ABS,セキュリティアラーム,マニュアルモード,チップアップシート,ドアイージークローザー,レーンアシスト,車間距離自動制御システム,前席シートヒーター,床下ラゲージボックス,オーディオソース_DVD,ブレーキアシスト,駐車支援システム,防水加工,地上波デジタルテレビチューナー,ソナー,サイドモニター,その他ナビゲーション,インテリジェントAFS,運転席パワーシート,本革シート,AC電源,ステアリングヒーター,リアフォグランプ,レインセンサー,インテリジェントパーキングアシスト,エマージェンシーサービス,フロント両席パワーシート,オーディオソース_HDD,ニーエアバッグ,ヘッドライトウォッシャー,後退時連動式ドアミラー,VGS/VGRS,ABS,2列目ウォークスルー,3列目シート,電動バックドア,リアエンターテイメントシステム,電気式4WD,HDDナビゲーション,全長(mm),全幅(mm),全高(mm),室内全長(mm),室内全幅(mm),室内全高(mm),マニュアルエアコン,片側スライドドア,最高出力(ps)
52,FR,5,5,177,V型8気筒DOHC,ガソリン,H17☆☆☆,3982,ターボ,2840,1840,120,5.4,4リンク式,マルチリンク式,Vディスク式,ハイオク,66,○,分割可倒,○,○,,○,○,○,○,,,,○,,,○,○,○,,,○,○,,○,○,,,○,○,○,,,,○,○,○,○,,○,,○,,○,,,○,,,○,4770,1840,1445,1900,1518,1157,,,510
53,4WD,5,5,EJ25,水平対抗4気筒DOHC,ガソリン,H17☆☆☆☆,2457,ターボ,2750,1520,150,5.5,ストラット式,ダブルウィッシュボーン,Vディスク式,ハイオク,65,,分割可倒,○,○,○,,○,○,○,,○,○,,,,,,△,○,△,○,△,,,,,,,○,△,,,○,○,,,○,△,,○,,,,,,,,,△,4775,1780,1535,2190,1545,1230,,,285
54,4WD,5,5,177,V型8気筒DOHC,ガソリン,H17☆☆☆,3982,ターボ,2940,2140,125,5.9,4リンク式,マルチリンク式,Vディスク式,ハイオク,80,○,分割可倒,○,○,,○,○,○,○,,,○,○,,,○,○,○,,,○,○,,○,○,○,,○,○,○,,,○,○,○,○,○,,○,,○,,○,,,○,,,○,5005,1905,1475,1957,1558,1161,,,612
55,4WD,5,5,2ZR-FXE,直列4気筒DOHC,ハイブリッド,H30☆☆☆☆☆,1797,,2640,1450,130,5.3,ストラット式,ダブルウィッシュボーン,ディスク式,レギュラー,43,○,分割可倒,○,○,○,,○,○,○,,○,○,,,,○,○,△,○,,○,○,,,○,,,,,,△,△,△,,,○,,,○,,,,,,,,,,,4495,1745,1460,1795,1510,1160,,,98
56,4WD,4,3,R06A,直列3気筒DOHC,ガソリン,,658,ターボ,2250,1040,205,4.8,3リンクリジッドアクスル式,3リンクリジッドアクスル式,ドラム式,レギュラー,40,,分割可倒,○,,○,,○,○,○,○,○,○,,,,○,,○,○,,○,,○,,,,,,,,,,,,,,,,,○,,,,,,,,,,3395,1475,1725,1795,1300,1200,,,64
57,FF,7,5,3ZR-FAE,直列4気筒DOHC,ガソリン,,1986,,2850,1610,160,5.5,ストラット式,トーションビーム式,ディスク式,レギュラー,55,,固定,○,○,○,,○,△,△,○,○,,○,,○,○,,,○,,○,,,,○,,,,,,,,,,,,,,○,,,,,可,分割可倒,,,,,4710,1735,1825,2930,1540,1400,,,152
58,FF,7,5,L15B,直列4気筒DOHC,ガソリン,H30☆☆☆☆☆,1496,ターボ,2890,1680,155,5.4,ストラット式,車軸式,ディスク式,レギュラー,52,○,固定,○,○,○,○,○,△,△,,○,○,○,,○,○,○,,○,△,,△,○,△,,△,△,,,,,,,,△,,,,,,,,,可,分割可倒,,△,,,4760,1695,1840,3220,1500,1425,,,150
59,FF,4,3,B38A15A,直列3気筒DOHC,ガソリン,H17☆☆☆☆,1498,ターボ,2495,1240,150,5.3,ストラット式,ダブルウィッシュボーン,ディスク式,ハイオク,40,,分割可倒,○,○,○,,○,○,○,,,,○,,,,,○,,,,○,,,○,,,,,○,,,○,○,,○,,,,,,,○,,,,,,○,3835,1725,1430,1236,1413,1131,,,136
60,FF,5,4,SH-VPTR,直列4気筒DOHC,ディーゼル,,2188,ターボ,2700,1450,155,5.3,ストラット式,マルチリンク式,ディスク式,軽油,51,○,分割可倒,○,,○,,○,○,○,○,○,,○,,,○,○,○,,△,○,△,,△,○,△,,○,○,○,,○,,○,,,,,,,,,,,,,,,,4580,1795,1455,1845,1505,1170,,,175
61,4WD,5,4,B58B30B,直列6気筒DOHC,ガソリン,,2998,ターボ,2850,1730,130,6.0,ストラット式,5リンク式,Vディスク式,ハイオク,59,○,分割可倒,○,○,○,○,○,○,○,,,,○,,,○,○,○,,,,○,,,○,△,,○,○,○,,,○,○,○,○,○,,,,○,,○,,,,,,○,4720,1825,1445,1903,1510,1160,,,387
62,FF,4,5,BR06,直列3気筒DOHC,ハイブリッド,H30☆☆☆☆,659,,2495,870,155,4.5,ストラット式,トーションビーム式,ドラム式,レギュラー,27,,分割可倒,○,○,○,,○,○,○,,,,,,,○,○,△,○,,○,○,,,○,○,,,,,,,,,,○,,,○,,,,○,,,,,,,3395,1475,1640,2065,1340,1270,,,52
63,FR,4,3,13B-REW,直列ロータリー,ガソリン,,1308,ターボ,2425,1260,135,5.1,ダブルウィッシュボーン,ダブルウィッシュボーン,Vディスク式,ハイオク,76,,一括可倒,○,○,○,,○,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4285,1760,1230,1415,1425,1025,○,,280
